Hue,Saturation,Value
0.602150538,1,0.729411765
0.181818182,0.863874346,0.749019608
0.572530864,0.465517241,0.909803922
0.419753086,0.211764706,1
0.798850575,0.305263158,0.745098039
0.566666667,0.446428571,0.658823529
0.610722611,1,0.560784314
0.569620253,0.409326425,0.756862745
0.96,1,0.68627451
0.138888889,0.049586777,0.949019608
0.577777778,0.058823529,1
0.234848485,0.990990991,0.870588235
0.985890653,0.832599119,0.890196078
0.075925926,0.918367347,0.768627451
0.083333333,0.142259414,0.937254902
0.966845878,0.812227074,0.898039216
0.912356322,0.729559748,0.623529412
0.939215686,0.352697095,0.945098039
0.949494949,0.771929825,0.670588235
0.988764045,0.843601896,0.82745098
0.407407407,0.516393443,0.478431373
0.482993197,1,0.768627451
0.124836601,1,1
0.082352941,1,1
0.960978836,0.988235294,1
0.75,0.5,0.8
0.206855792,0.712121212,0.776470588
0.583333333,0.008196721,0.956862745
0.060606061,0.429268293,0.803921569
0.145833333,0.705882353,0.4
0.877358491,0.365517241,0.568627451
0.971428571,0.795454545,0.517647059
0.095238095,0.14,0.980392157
0.333333333,1,0.501960784
0.204212454,1,0.71372549
0.065315315,0.294820717,0.984313725
0.5,1,1
0.444010417,0.501960784,1
0.2,0.921568627,1
0.192810458,0.614457831,0.325490196
0.572916667,0.213333333,0.294117647
0.211111111,0.198675497,0.592156863
0.141534392,0.540772532,0.91372549
0.375,0.063157895,0.745098039
0.258064516,0.366863905,0.662745098
0.055555556,0.6,1
0,0.745454545,0.647058824
0.156785244,1,0.992156863
0.509259259,0.140625,0.501960784
0.224409449,0.976923077,0.509803922
0.962630792,0.874509804,1
0.104166667,0.574358974,0.764705882
0.583660131,1,1
0.5,0.058823529,1
0.5,0.058823529,1
0.573333333,0.102459016,0.956862745
0.553398058,0.429166667,0.941176471
0.58125,0.331950207,0.945098039
0,0.204918033,0.956862745
0.166666667,0.015748031,0.996078431
0.954545455,0.431372549,1
0.532945736,0.83902439,0.803921569
0.120772947,0.276,0.980392157
0.141914191,0.792156863,1
0.455974843,1,0.415686275
0.908376963,0.852678571,0.878431373
0.010928962,0.983870968,0.48627451
0.537837838,0.864485981,0.839215686
0.166666667,0.015151515,0.517647059
0.97979798,0.217105263,0.596078431
0.571428571,0.182608696,0.901960784
0.060283688,0.295597484,0.623529412
0.986904762,0.56,0.980392157
0.166666667,0.102040816,0.960784314
0.598039216,0.689189189,0.580392157
0.959383754,0.762820513,0.611764706
0.061032864,0.612068966,0.909803922
0.09039548,0.231372549,1
0.066666667,0.491803279,0.239215686
0.118110236,0.846666667,0.588235294
0.184044234,0.941964286,0.878431373
0.208496732,1,1
0.017708333,0.62992126,0.996078431
0.99702381,0.586387435,0.749019608
0,0,0
0.028248588,0.967213115,0.239215686
0.580246914,0.243243243,0.435294118
0.375,0.301886792,0.207843137
0.194444444,0.1,0.235294118
0.96875,0.083769634,0.749019608
0.1,0.196078431,1
0.033333333,0.393939394,0.647058824
0.583333333,0.787878788,0.905882353
0.522727273,0.277310924,0.933333333
0.138888889,0.24,0.980392157
0.666666667,1,1
0.602391629,0.877952756,0.996078431
0.526666667,1,0.68627451
0.547619048,1,0.741176471
0.642857143,1,0.658823529
0.666666667,0.666666667,0.6
0.621031746,0.992125984,0.996078431
0.666666667,0.221153846,0.815686275
0.543824701,1,0.984313725
0.583333333,0.5,0.8
0.532755299,0.930107527,0.729411765
0.573426573,0.605932203,0.925490196
0.522727273,0.277310924,0.933333333
0.724014337,0.636986301,0.57254902
0.546969697,0.859375,0.501960784
0.753187614,0.809734513,0.88627451
0.601532567,0.520958084,0.654901961
0.612103175,0.680161943,0.968627451
0.666666667,0.883333333,0.941176471
0.950904393,0.581081081,0.870588235
0.024193548,0.512396694,0.474509804
0.53021978,1,0.71372549
0.108974359,0.114537445,0.890196078
